Timestamp,ID,Name,Address,RSSI,Distance
2024-11-27T13:35:05.500, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 2.5
2024-11-27T13:35:05.750, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 2.549509757
2024-11-27T13:35:06.000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 2.692582404
2024-11-27T13:35:06.250, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 2.915475947
2024-11-27T13:35:06.500, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 3.201562119
2024-11-27T13:35:06.750, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 3.535533906
2024-11-27T13:35:07.000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 3.905124838
2024-11-27T13:35:07.250, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 4.301162634
2024-11-27T13:35:07.500, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 4.716990566
2024-11-27T13:35:07.750, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 5.14781507
2024-11-27T13:35:08.000, sensor3, 2C-AF-33-58-6F-D1, 2C:AF:33:58:6F:D1, -31, 5.590169944
